title,price,star_rating,img_path
Sharp Objects,47.82,4,./processed/images/4_star/Sharp Objects.png
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,./processed/images/4_star/The Dirty Little Secrets of Getting Your Dream Job.png
The Boys in the Boat Nine Americans and Their Epi,22.6,4,./processed/images/4_star/The Boys in the Boat Nine Americans and Their Epi.png
Shakespeare's Sonnets,20.66,4,./processed/images/4_star/Shakespeare's Sonnets.png
Wall and Piece,44.18,4,./processed/images/4_star/Wall and Piece.png
Behind Closed Doors,52.22,4,./processed/images/4_star/Behind Closed Doors.png
Untitled Collection Sabbath Poems 2014,14.27,4,./processed/images/4_star/Untitled Collection Sabbath Poems 2014.png
"Unseen City The Majesty of Pigeons, the Discreet ",44.18,4,"./processed/images/4_star/Unseen City The Majesty of Pigeons, the Discreet .png"
This One Summer,19.49,4,./processed/images/4_star/This One Summer.png
The Past Never Ends,56.5,4,./processed/images/4_star/The Past Never Ends.png
