title,price,star_rating,img_path
A Light in the Attic,51.77,3,./images/A Light in the Attic.png
Tipping the Velvet,53.74,1,./images/Tipping the Velvet.png
Soumission,50.1,1,./images/Soumission.png
Sharp Objects,47.82,4,./images/Sharp Objects.png
Sapiens A Brief History of Humankind,54.23,5,./images/Sapiens A Brief History of Humankind.png
The Requiem Red,22.65,1,./images/The Requiem Red.png
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,./images/The Dirty Little Secrets of Getting Your Dream Job.png
The Coming Woman A Novel Based on the Life of the,17.93,3,./images/The Coming Woman A Novel Based on the Life of the.png
The Boys in the Boat Nine Americans and Their Epi,22.6,4,./images/The Boys in the Boat Nine Americans and Their Epi.png
The Black Maria,52.15,1,./images/The Black Maria.png
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,"./images/Starving Hearts (Triangular Trade Trilogy, #1).png"
Shakespeare's Sonnets,20.66,4,./images/Shakespeare's Sonnets.png
Set Me Free,17.46,5,./images/Set Me Free.png
Scott Pilgrim's Precious Little Life (Scott Pilgri,52.29,5,./images/Scott Pilgrim's Precious Little Life (Scott Pilgri.png
Rip it Up and Start Again,35.02,5,./images/Rip it Up and Start Again.png
Our Band Could Be Your Life Scenes from the Ameri,57.25,3,./images/Our Band Could Be Your Life Scenes from the Ameri.png
Olio,23.88,1,./images/Olio.png
Mesaerion The Best Science Fiction Stories 1800-1,37.59,1,./images/Mesaerion The Best Science Fiction Stories 1800-1.png
Libertarianism for Beginners,51.33,2,./images/Libertarianism for Beginners.png
It's Only the Himalayas,45.17,2,./images/It's Only the Himalayas.png
In Her Wake,12.84,1,./images/In Her Wake.png
How Music Works,37.32,2,./images/How Music Works.png
"Foolproof Preserving A Guide to Small Batch Jams,",30.52,3,"./images/Foolproof Preserving A Guide to Small Batch Jams,.png"
Chase Me (Paris Nights #2),25.27,5,./images/Chase Me (Paris Nights #2).png
Black Dust,34.53,5,./images/Black Dust.png
Birdsong A Story in Pictures,54.64,3,./images/Birdsong A Story in Pictures.png
America's Cradle of Quarterbacks Western Pennsylv,22.5,3,./images/America's Cradle of Quarterbacks Western Pennsylv.png
Aladdin and His Wonderful Lamp,53.13,3,./images/Aladdin and His Wonderful Lamp.png
Worlds Elsewhere Journeys Around Shakespeareâs ,40.3,5,./images/Worlds Elsewhere Journeys Around Shakespeareâs .png
Wall and Piece,44.18,4,./images/Wall and Piece.png
The Four Agreements A Practical Guide to Personal,17.66,5,./images/The Four Agreements A Practical Guide to Personal.png
The Five Love Languages How to Express Heartfelt ,31.05,3,./images/The Five Love Languages How to Express Heartfelt .png
The Elephant Tree,23.82,5,./images/The Elephant Tree.png
The Bear and the Piano,36.89,1,./images/The Bear and the Piano.png
Sophie's World,15.94,5,./images/Sophie's World.png
Penny Maybe,33.29,3,./images/Penny Maybe.png
Maude (1883-1993)She Grew Up with the country,18.02,2,./images/Maude (1883-1993)She Grew Up with the country.png
"In a Dark, Dark Wood",19.63,1,"./images/In a Dark, Dark Wood.png"
Behind Closed Doors,52.22,4,./images/Behind Closed Doors.png
You can't bury them all Poems,33.63,2,./images/You can't bury them all Poems.png
Slow States of Collapse Poems,57.31,3,./images/Slow States of Collapse Poems.png
Reasons to Stay Alive,26.41,2,./images/Reasons to Stay Alive.png
Private Paris (Private #10),47.61,5,./images/Private Paris (Private #10).png
#HigherSelfie Wake Up Your Life Free Your Soul ,23.11,5,./images/#HigherSelfie Wake Up Your Life Free Your Soul .png
Without Borders (Wanderlove #1),45.07,2,./images/Without Borders (Wanderlove #1).png
When We Collided,31.77,1,./images/When We Collided.png
"We Love You, Charlie Freeman",50.27,5,"./images/We Love You, Charlie Freeman.png"
Untitled Collection Sabbath Poems 2014,14.27,4,./images/Untitled Collection Sabbath Poems 2014.png
"Unseen City The Majesty of Pigeons, the Discreet ",44.18,4,"./images/Unseen City The Majesty of Pigeons, the Discreet .png"
Unicorn Tracks,18.78,3,./images/Unicorn Tracks.png
"Unbound How Eight Technologies Made Us Human, Tra",25.52,1,"./images/Unbound How Eight Technologies Made Us Human, Tra.png"
Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCL,16.28,1,./images/Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCL.png
Throwing Rocks at the Google Bus How Growth Becam,31.12,3,./images/Throwing Rocks at the Google Bus How Growth Becam.png
This One Summer,19.49,4,./images/This One Summer.png
Thirst,17.27,5,./images/Thirst.png
The Torch Is Passed A Harding Family Story,19.09,1,./images/The Torch Is Passed A Harding Family Story.png
The Secret of Dreadwillow Carse,56.13,1,./images/The Secret of Dreadwillow Carse.png
The Pioneer Woman Cooks Dinnertime Comfort Class,56.41,1,./images/The Pioneer Woman Cooks Dinnertime Comfort Class.png
The Past Never Ends,56.5,4,./images/The Past Never Ends.png
The Natural History of Us (The Fine Art of Pretend,45.22,3,./images/The Natural History of Us (The Fine Art of Pretend.png
