order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-B0934769,2026-05-14 10:25:52,USER_5288,Air Purifier,Home,405.14,6,Cash
ORD-3AA15F4F,14/05/2026 10:25,USER_1394,Desk Lamp,Home,947.8,3,Credit Card
ORD-E30AE668,14/05/2026 10:25,USER_3886,Desk Lamp,Home,586.27,6,Cash
ORD-2AA474C0,14/05/2026 10:25,USER_2300,Air Purifier,Home,235.53,4,PayPal
ORD-FFA1A897,1778743552,USER_5506,Desk Lamp,Home,861.01,7,PayPal
ORD-E859B644,1778743552,USER_4352,Coffee Maker,Home,1034.48,4,Crypto
ORD-3CF702A4,1778743552,USER_3468,Wireless Mouse,Electronics,-58.86,6,Cash
ORD-236D4381,2026-05-14 10:25:52,USER_2424,Coffee Maker,Home,274.6,7,Crypto
ORD-81A7A510,14/05/2026 10:25,USER_5425,Running Shoes,Fashion,FREE,6,PayPal
ORD-0DFBE655,14/05/2026 10:25,USER_2593,Desk Lamp,Home,203.16,6,Cash
ORD-AA02AD69,2026-05-14 10:25:52,USER_2344,Desk Lamp,Home,572.35,3,Cash
ORD-94A8399C,14/05/2026 10:25,USER_4089,Laptop,Electronics,567.05,4,PayPal
ORD-E7B4D67F,14/05/2026 10:25,USER_8173,T-Shirt,Fashion,FREE,5,Credit Card
ORD-5001CE2A,2026-05-14 10:25:52,USER_8914,Laptop,Electronics,699.32,7,Cash
ORD-53CF3261,1778743552,USER_6437,Running Shoes,Fashion,-157.28,6,PayPal
ORD-01B918C3,2026-05-14 10:25:52,USER_5713,,Home,176.23,5,Cash
ORD-AE3B17D5,1778743552,USER_2923,Running Shoes,Fashion,792.28,3,PayPal
ORD-3457AC30,1778743552,USER_5298,Running Shoes,Fashion,1027.02,4,Crypto
ORD-75AEB8B8,1778743552,USER_5684,Wireless Mouse,Electronics,255.61,7,Cash
ORD-6FDF0326,14/05/2026 10:25,USER_8022,Running Shoes,Fashion,-1079.51,6,Crypto
ORD-4DFD0C7B,14/05/2026 10:25,USER_5027,Jacket,Fashion,337.41,4,Cash
ORD-DD550666,1778743552,USER_9087,Jacket,Fashion,-32.1,9,Crypto
ORD-1B5ABEB7,14/05/2026 10:25,USER_9919,Coffee Maker,Home,870.06,8,Cash
,1778743552,USER_7826,T-Shirt,Fashion,689.54,9,Cash
ORD-0B30D350,2026-05-14 10:25:52,USER_3611,Wireless Mouse,Electronics,706.94,4,Cash
ORD-42DC0EFB,1778743552,USER_4709,Monitor,Electronics,-1166.46,9,Crypto
ORD-41468D04,1778743552,USER_1979,T-Shirt,Fashion,860.14,2,PayPal
ORD-79447E85,2026-05-14 10:25:52,USER_6168,Coffee Maker,Home,1196.25,7,Credit Card
ORD-44F89D9B,1778743552,USER_9015,Monitor,Electronics,883.89,10,PayPal
ORD-D14458FB,1778743552,USER_1864,Desk Lamp,Home,200.14,4,Crypto
