order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-405BE457,14/05/2026 10:25,USER_9031,Coffee Maker,Home,-443.52,6,Crypto
ORD-F64E7562,14/05/2026 10:25,USER_2408,Running Shoes,Fashion,523.89,1,Crypto
ORD-07802C3E,14/05/2026 10:25,USER_2795,Desk Lamp,Home,661.0,10,PayPal
ORD-D708EB4A,2026-05-14 10:25:48,USER_3584,Running Shoes,Fashion,810.09,4,PayPal
ORD-C866D3C5,2026-05-14 10:25:48,USER_6453,Air Purifier,Home,1144.96,2,Crypto
ORD-F582AE4D,2026-05-14 10:25:48,USER_2669,Air Purifier,Home,121.44,6,Cash
ORD-70D3B6D3,1778743548,USER_5863,Wireless Mouse,Electronics,245.31,1,Crypto
ORD-455FF4A0,2026-05-14 10:25:48,USER_6438,Running Shoes,Fashion,115.97,3,Credit Card
ORD-C8FF9C91,2026-05-14 10:25:48,USER_1874,T-Shirt,Fashion,128.98,5,Cash
ORD-202ED74F,14/05/2026 10:25,USER_2729,Desk Lamp,Home,605.16,7,PayPal
ORD-1DD1F385,14/05/2026 10:25,USER_1886,Monitor,Electronics,215.06,8,Crypto
ORD-81CE24A4,2026-05-14 10:25:48,USER_1403,Coffee Maker,Home,643.11,1,PayPal
ORD-D1481688,14/05/2026 10:25,USER_2736,Laptop,Electronics,380.09,5,Credit Card
ORD-D9A58DD5,14/05/2026 10:25,USER_7916,Coffee Maker,Home,237.96,9,Credit Card
ORD-28CCA2FE,14/05/2026 10:25,USER_5275,T-Shirt,Fashion,345.65,4,PayPal
ORD-CA0696CB,14/05/2026 10:25,USER_2089,Air Purifier,Home,584.79,10,PayPal
ORD-7227A026,2026-05-14 10:25:48,USER_5880,Monitor,Electronics,145.96,6,Credit Card
ORD-578ADA83,1778743548,USER_9700,Air Purifier,Home,1172.54,2,Cash
ORD-2661CDAA,2026-05-14 10:25:48,USER_4875,Jacket,Fashion,97.98,1,Credit Card
ORD-1C125BD4,2026-05-14 10:25:48,USER_5709,Coffee Maker,Home,785.64,2,PayPal
ORD-6DE9D40B,1778743548,USER_5136,Running Shoes,Fashion,265.51,1,Crypto
ORD-01F63097,2026-05-14 10:25:48,USER_5426,T-Shirt,Fashion,904.17,7,Credit Card
ORD-1E8447E7,2026-05-14 10:25:48,USER_9176,T-Shirt,Fashion,90.83,1,Credit Card
ORD-2D05F345,2026-05-14 10:25:48,USER_5514,Air Purifier,Home,15.48,2,Crypto
ORD-83BBBD45,14/05/2026 10:25,USER_3720,Running Shoes,Fashion,1025.65,8,PayPal
ORD-26968AAB,1778743548,USER_2987,Air Purifier,Home,588.82,10,Credit Card
ORD-89B3BDBD,14/05/2026 10:25,USER_7777,Running Shoes,Fashion,1026.44,2,PayPal
ORD-624EAB91,1778743548,USER_6787,T-Shirt,Fashion,832.16,8,PayPal
ORD-2237D4B9,14/05/2026 10:25,USER_2632,Smartphone,Electronics,-413.56,9,PayPal
ORD-D8C7C1B9,14/05/2026 10:25,USER_7790,Desk Lamp,Home,1178.43,6,Cash
