order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-D5BA916C,2026-05-14 10:25:53,USER_9551,Jacket,Fashion,328.99,6,PayPal
ORD-ECB8534E,14/05/2026 10:25,USER_7370,T-Shirt,Fashion,663.68,4,PayPal
ORD-8216320A,14/05/2026 10:25,USER_6594,Desk Lamp,Home,267.28,3,Credit Card
ORD-5DC5D2A3,1778743553,USER_2423,Air Purifier,Home,935.27,4,Credit Card
ORD-839634CE,2026-05-14 10:25:53,USER_3930,Coffee Maker,Home,715.17,1,PayPal
ORD-7732B671,14/05/2026 10:25,USER_4142,Jacket,Fashion,1098.86,10,Credit Card
ORD-5876BBD6,2026-05-14 10:25:53,USER_8967,Monitor,Electronics,985.86,8,Crypto
ORD-465DEF5F,2026-05-14 10:25:53,USER_4773,Smartphone,Electronics,-936.11,9,PayPal
ORD-B163B132,2026-05-14 10:25:53,USER_6145,Monitor,Electronics,441.29,10,Credit Card
ORD-266F4E5F,14/05/2026 10:25,USER_2624,Wireless Mouse,Electronics,1114.25,8,Cash
ORD-345B5DFD,14/05/2026 10:25,USER_1902,Monitor,Electronics,501.01,4,Cash
ORD-0AC2AFB8,1778743553,USER_6014,T-Shirt,Fashion,1119.13,3,Cash
ORD-5982F98D,2026-05-14 10:25:53,USER_6818,Laptop,Electronics,870.45,1,Cash
ORD-8937594B,2026-05-14 10:25:53,USER_1056,Monitor,Electronics,1196.48,3,Credit Card
ORD-7871D0A0,1778743553,USER_4433,Monitor,Electronics,228.82,9,Credit Card
ORD-E8DA0FCC,1778743553,USER_4067,Jacket,Fashion,657.89,4,Cash
ORD-78796100,1778743553,USER_7268,T-Shirt,Fashion,629.13,3,Crypto
ORD-E8376C25,1778743553,USER_6529,Coffee Maker,Home,1192.29,8,Crypto
ORD-4CC95FD6,1778743553,USER_7573,Running Shoes,Fashion,,2,Credit Card
INVALID_ORDER,00-00-00,???,NONE,NONE,ERROR,0,UNKNOWN
ORD-8E6F5735,14/05/2026 10:25,USER_4583,Desk Lamp,Home,668.22,5,Credit Card
ORD-F1EDE7FE,1778743553,USER_1506,Air Purifier,Home,983.62,2,Crypto
ORD-97560D0E,14/05/2026 10:25,USER_4132,Monitor,Electronics,352.0,3,PayPal
ORD-22EE0CEA,14/05/2026 10:25,USER_5699,Wireless Mouse,Electronics,622.44,3,Credit Card
ORD-6D2FFD24,1778743553,USER_6763,Desk Lamp,,290.8,3,Cash
ORD-811F80E0,1778743553,USER_5759,Desk Lamp,Home,183.6,2,Cash
ORD-CDF04533,2026-05-14 10:25:53,USER_3436,Desk Lamp,Home,1027.79,5,PayPal
ORD-C8DB73A2,1778743553,USER_5729,Coffee Maker,Home,744.93,1,Cash
ORD-7CB845D1,14/05/2026 10:25,USER_2761,Monitor,Electronics,,10,Cash
ORD-194F1CFB,14/05/2026 10:25,USER_4794,,Electronics,244.93,6,Crypto
