order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-4C7A8356,2026-05-14 10:25:50,USER_5919,Running Shoes,Fashion,205.68,4,Crypto
ORD-159BA96D,1778743550,USER_2853,Coffee Maker,Home,1197.07,8,Cash
ORD-F2C9F0D4,14/05/2026 10:25,USER_7737,Running Shoes,Fashion,191.56,7,Crypto
ORD-C3550C99,14/05/2026 10:25,USER_5970,Jacket,Fashion,731.82,10,PayPal
ORD-737ADD65,14/05/2026 10:25,USER_4487,Desk Lamp,Home,569.73,3,Credit Card
ORD-7E5AC034,2026-05-14 10:25:50,USER_8934,Air Purifier,Home,106.64,9,PayPal
ORD-94DB551B,14/05/2026 10:25,USER_6736,Running Shoes,Fashion,233.56,1,Cash
ORD-F549E805,1778743550,USER_4555,Desk Lamp,Home,1137.44,,Crypto
ORD-7E211AC3,2026-05-14 10:25:50,USER_4845,Coffee Maker,Home,536.93,10,PayPal
ORD-3A9508DF,2026-05-14 10:25:50,USER_3814,Air Purifier,Home,-1067.6,4,Cash
ORD-D4CE55E9,14/05/2026 10:25,USER_3992,Air Purifier,Home,1087.46,8,Crypto
ORD-122CED08,14/05/2026 10:25,USER_4444,Smartphone,Electronics,13.73,3,Cash
ORD-4217748F,14/05/2026 10:25,USER_6376,Coffee Maker,Home,827.57,9,Credit Card
ORD-4409ECEA,2026-05-14 10:25:50,USER_4685,Monitor,Electronics,197.97,4,Credit Card
ORD-F9DFD963,2026-05-14 10:25:50,USER_1826,Laptop,Electronics,683.46,2,PayPal
ORD-16FAABFD,1778743550,USER_2998,Jacket,Fashion,290.61,10,PayPal
ORD-D25C3619,1778743550,USER_2686,Jacket,Fashion,340.5,5,PayPal
ORD-CECC5726,2026-05-14 10:25:50,USER_1251,Air Purifier,Home,82.18,3,PayPal
ORD-E57C8470,1778743550,USER_9600,Running Shoes,,1082.13,3,Credit Card
ORD-0858F173,14/05/2026 10:25,USER_2794,Desk Lamp,Home,772.98,5,Cash
ORD-32E6774D,2026-05-14 10:25:50,USER_7223,T-Shirt,Fashion,625.12,1,Crypto
ORD-11AFC0C9,1778743550,USER_1002,Jacket,Fashion,566.13,8,Cash
ORD-3EB4FF46,1778743550,USER_8927,Wireless Mouse,Electronics,FREE,5,PayPal
,1778743550,USER_6016,Monitor,Electronics,830.69,4,Cash
ORD-A73281E6,1778743550,USER_6718,Smartphone,Electronics,1024.5,8,Cash
ORD-D15C41F5,2026-05-14 10:25:50,USER_8749,Running Shoes,Fashion,63.14,6,Crypto
ORD-BA73F09F,14/05/2026 10:25,USER_3238,Air Purifier,Home,394.41,8,Credit Card
ORD-DAA41F0B,2026-05-14 10:25:50,USER_7455,Monitor,Electronics,381.97,4,PayPal
ORD-5CF51D07,1778743550,USER_6580,Jacket,Fashion,786.59,7,Credit Card
ORD-12FB6592,1778743550,USER_6182,Running Shoes,Fashion,685.31,5,Cash
