order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-932D164A,14/05/2026 10:25,USER_2845,Air Purifier,Home,710.1,2,Crypto
ORD-CF654ACA,14/05/2026 10:25,USER_3637,Coffee Maker,Home,204.16,5,Credit Card
ORD-E5715C0D,1778743555,USER_2597,Coffee Maker,Home,912.11,3,PayPal
ORD-EE2A947B,1778743555,USER_5776,Jacket,Fashion,FREE,9,Cash
ORD-E860F8D0,1778743555,USER_3271,Air Purifier,Home,447.18,9,Cash
ORD-A9FC1C99,1778743555,USER_1031,Smartphone,Electronics,61.46,6,Cash
ORD-01D65F9E,2026-05-14 10:25:55,USER_3020,Air Purifier,Home,-695.56,3,Cash
ORD-D398C672,2026-05-14 10:25:55,USER_6737,Wireless Mouse,Electronics,960.81,1,Cash
ORD-ABB537EF,2026-05-14 10:25:55,USER_9348,Jacket,Fashion,781.62,2,PayPal
ORD-D0C6F767,1778743555,USER_1326,T-Shirt,Fashion,243.77,1,Cash
ORD-D64420AA,1778743555,USER_9112,Monitor,Electronics,523.64,9,PayPal
,2026-05-14 10:25:55,USER_3585,Jacket,Fashion,764.32,5,Cash
ORD-1A484552,2026-05-14 10:25:55,USER_4256,T-Shirt,Fashion,839.31,2,Crypto
ORD-78D6715B,14/05/2026 10:25,USER_8214,Jacket,Fashion,778.17,2,Cash
ORD-513C3595,1778743555,USER_1230,Running Shoes,Fashion,115.4,3,PayPal
ORD-ED61C78D,2026-05-14 10:25:55,USER_4160,Running Shoes,,1084.37,10,PayPal
ORD-F8F017BD,2026-05-14 10:25:55,USER_3516,Coffee Maker,Home,622.1,8,Credit Card
ORD-08FD6F4E,2026-05-14 10:25:55,USER_5156,Laptop,Electronics,64.01,3,PayPal
ORD-DF544E7D,1778743555,,Air Purifier,Home,45.11,4,Cash
ORD-DDB44E9D,1778743555,USER_3903,Running Shoes,Fashion,391.48,6,Credit Card
ORD-D02BD912,1778743555,USER_2344,Monitor,Electronics,1135.49,6,Cash
ORD-AEE025E5,2026-05-14 10:25:55,USER_3687,Running Shoes,Fashion,1042.01,3,Credit Card
ORD-C3438579,1778743555,USER_3995,Smartphone,Electronics,-1021.4,1,PayPal
ORD-C8322398,1778743555,USER_5823,Air Purifier,Home,894.05,9,PayPal
ORD-15A924B1,2026-05-14 10:25:55,USER_9003,Coffee Maker,Home,-1123.46,2,Crypto
ORD-9E25D765,14/05/2026 10:25,,Air Purifier,Home,1009.53,9,Crypto
ORD-DEFC0C97,1778743555,USER_1973,Wireless Mouse,Electronics,243.12,4,PayPal
ORD-2950140D,2026-05-14 10:25:55,USER_2659,Desk Lamp,Home,-36.18,5,Crypto
ORD-8F95A496,1778743555,USER_3734,Jacket,Fashion,504.97,1,Crypto
ORD-F06CE3C4,2026-05-14 10:25:55,USER_8793,Jacket,Fashion,1144.29,3,Credit Card
