order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-403C2717,1778743559,USER_8893,Jacket,Fashion,630.35,8,Credit Card
ORD-E435FA85,1778743559,USER_5533,Desk Lamp,Home,833.72,3,Crypto
ORD-C9AB1E5D,1778743559,USER_4130,Smartphone,Electronics,1114.77,4,Cash
ORD-95B2838F,2026-05-14 10:25:59,USER_2050,Smartphone,Electronics,291.91,5,Credit Card
INVALID_ORDER,00-00-00,???,NONE,NONE,ERROR,0,UNKNOWN
ORD-FFC2884A,14/05/2026 10:25,USER_5437,Jacket,Fashion,FREE,6,Credit Card
ORD-ECEE6060,1778743559,USER_2127,Coffee Maker,Home,163.5,10,Credit Card
ORD-828B9EB1,1778743559,USER_2954,Running Shoes,Fashion,800.19,3,PayPal
ORD-A3512665,1778743559,USER_8364,T-Shirt,Fashion,1180.61,6,PayPal
ORD-D3A21B62,14/05/2026 10:25,USER_2367,Smartphone,Electronics,405.29,4,Cash
ORD-E7B9AC3D,1778743559,USER_5645,Running Shoes,Fashion,495.47,2,Crypto
ORD-CBE68519,2026-05-14 10:25:59,USER_7507,Desk Lamp,Home,242.92,8,Credit Card
ORD-123E0B0E,2026-05-14 10:25:59,USER_6444,Wireless Mouse,Electronics,245.57,3,Cash
ORD-A611E994,1778743559,USER_7464,T-Shirt,Fashion,73.67,8,Crypto
ORD-E46B4F1C,2026-05-14 10:25:59,USER_5764,Laptop,Electronics,641.02,1,PayPal
ORD-82ACE8B5,14/05/2026 10:25,USER_9804,Running Shoes,Fashion,385.6,3,Cash
INVALID_ORDER,00-00-00,???,NONE,NONE,ERROR,0,UNKNOWN
ORD-C2BF7D0B,1778743559,USER_5461,Coffee Maker,Home,538.15,6,PayPal
ORD-BC60A3DF,1778743559,USER_3631,Jacket,Fashion,404.25,3,Crypto
ORD-08058243,2026-05-14 10:25:59,USER_6016,Air Purifier,Home,449.82,1,Cash
INVALID_ORDER,00-00-00,???,NONE,NONE,ERROR,0,UNKNOWN
ORD-110C520B,14/05/2026 10:25,USER_5431,Coffee Maker,Home,466.05,7,PayPal
ORD-CD1E6F68,1778743559,USER_4880,Air Purifier,Home,-242.0,5,Cash
ORD-DE1A2709,2026-05-14 10:25:59,USER_3427,Desk Lamp,Home,706.21,3,Crypto
ORD-16443574,2026-05-14 10:25:59,USER_7436,Running Shoes,Fashion,748.36,6,Crypto
ORD-4731957A,14/05/2026 10:25,USER_8220,Wireless Mouse,Electronics,833.62,8,PayPal
ORD-A4BE5B84,14/05/2026 10:25,USER_4011,Air Purifier,Home,1000.13,7,Crypto
ORD-CBB8BAB7,14/05/2026 10:25,USER_9730,Jacket,Fashion,1148.85,3,Crypto
ORD-3FE045AC,2026-05-14 10:25:59,USER_8141,Coffee Maker,Home,FREE,2,Cash
ORD-DF9CCE2C,14/05/2026 10:25,USER_6768,Wireless Mouse,Electronics,655.49,1,PayPal
