order_id,timestamp,customer_id,product_name,category,price,quantity,payment_method
ORD-97CD16AF,1778743546,USER_2833,Air Purifier,Home,1121.19,10,Credit Card
ORD-2049E08C,1778743546,USER_4121,Monitor,Electronics,-21.64,2,Credit Card
ORD-1479A2D7,14/05/2026 10:25,USER_6639,Air Purifier,Home,630.56,5,Crypto
ORD-E9B00D25,1778743546,USER_8362,T-Shirt,Fashion,928.28,3,Cash
ORD-CBFEA649,1778743546,USER_1809,Coffee Maker,Home,632.47,10,PayPal
ORD-548B7534,1778743546,USER_8423,Jacket,Fashion,696.01,8,Credit Card
ORD-3ECFC93D,14/05/2026 10:25,USER_6901,Monitor,Electronics,946.91,9,Credit Card
ORD-6AD47AB7,14/05/2026 10:25,USER_3592,Monitor,Electronics,735.38,6,Cash
ORD-92F0013B,14/05/2026 10:25,USER_7213,Monitor,Electronics,297.18,7,Credit Card
ORD-A0FF72DB,1778743546,USER_1946,Running Shoes,Fashion,-778.5,10,Cash
ORD-35708FC7,1778743546,USER_5099,Desk Lamp,Home,978.05,8,PayPal
ORD-68C5A0D3,14/05/2026 10:25,USER_3842,Laptop,Electronics,306.87,7,Cash
ORD-B2829DEB,2026-05-14 10:25:46,USER_5737,Jacket,Fashion,655.63,6,Crypto
ORD-AF7E4933,2026-05-14 10:25:46,USER_8163,Coffee Maker,Home,325.72,4,Crypto
ORD-1B22DE7A,14/05/2026 10:25,USER_1978,Desk Lamp,Home,182.55,1,Credit Card
ORD-610EC43B,2026-05-14 10:25:46,USER_2163,Running Shoes,Fashion,198.23,2,Crypto
ORD-9C1E91A5,1778743546,USER_2358,Desk Lamp,,1173.35,6,Cash
ORD-A1F5BBD7,14/05/2026 10:25,USER_8360,Wireless Mouse,Electronics,554.1,5,Cash
ORD-88DDFEA9,1778743546,USER_2550,Monitor,Electronics,996.08,10,Credit Card
ORD-067DDDA6,,USER_7061,Laptop,Electronics,828.14,5,Credit Card
ORD-6BD06280,2026-05-14 10:25:46,USER_6315,Wireless Mouse,Electronics,128.86,10,Credit Card
ORD-C42546DD,1778743546,USER_3048,Coffee Maker,Home,898.83,3,Crypto
ORD-526C1F41,14/05/2026 10:25,USER_5246,T-Shirt,Fashion,31.54,10,Crypto
INVALID_ORDER,00-00-00,???,NONE,NONE,ERROR,0,UNKNOWN
ORD-67727E72,1778743546,USER_2095,Laptop,Electronics,168.84,3,PayPal
ORD-832119A0,2026-05-14 10:25:46,USER_3290,Jacket,Fashion,672.49,6,Credit Card
ORD-E86F8396,2026-05-14 10:25:46,USER_5004,Jacket,Fashion,42.63,5,Crypto
ORD-B31F959B,,USER_1412,T-Shirt,Fashion,24.53,1,PayPal
ORD-2817FB40,2026-05-14 10:25:46,USER_7210,Monitor,Electronics,928.46,8,Credit Card
ORD-B0AFA976,2026-05-14 10:25:46,USER_1447,Laptop,Electronics,-996.62,4,Credit Card
