title,price,star_rating,img_path
A Light in the Attic,51.77,3,./processed/images/3_star/A Light in the Attic.png
The Coming Woman A Novel Based on the Life of the,17.93,3,./processed/images/3_star/The Coming Woman A Novel Based on the Life of the.png
Our Band Could Be Your Life Scenes from the Ameri,57.25,3,./processed/images/3_star/Our Band Could Be Your Life Scenes from the Ameri.png
"Foolproof Preserving A Guide to Small Batch Jams,",30.52,3,"./processed/images/3_star/Foolproof Preserving A Guide to Small Batch Jams,.png"
Birdsong A Story in Pictures,54.64,3,./processed/images/3_star/Birdsong A Story in Pictures.png
America's Cradle of Quarterbacks Western Pennsylv,22.5,3,./processed/images/3_star/America's Cradle of Quarterbacks Western Pennsylv.png
Aladdin and His Wonderful Lamp,53.13,3,./processed/images/3_star/Aladdin and His Wonderful Lamp.png
The Five Love Languages How to Express Heartfelt ,31.05,3,./processed/images/3_star/The Five Love Languages How to Express Heartfelt .png
Penny Maybe,33.29,3,./processed/images/3_star/Penny Maybe.png
Slow States of Collapse Poems,57.31,3,./processed/images/3_star/Slow States of Collapse Poems.png
Unicorn Tracks,18.78,3,./processed/images/3_star/Unicorn Tracks.png
Throwing Rocks at the Google Bus How Growth Becam,31.12,3,./processed/images/3_star/Throwing Rocks at the Google Bus How Growth Becam.png
The Natural History of Us (The Fine Art of Pretend,45.22,3,./processed/images/3_star/The Natural History of Us (The Fine Art of Pretend.png
